[21:55:15] [WARN] [json.exception.type_error.302] type must be string, but is null689
[21:55:18] [WARN] [json.exception.type_error.302] type must be string, but is null1856
[21:55:21] [WARN] [json.exception.type_error.302] type must be string, but is null3023
[21:55:25] [WARN] [json.exception.type_error.302] type must be string, but is null4190
[21:56:42] [WARN] [json.exception.type_error.302] type must be string, but is null689
[21:56:45] [WARN] [json.exception.type_error.302] type must be string, but is null1856
[21:56:49] [WARN] [json.exception.type_error.302] type must be string, but is null3023
[21:56:52] [WARN] [json.exception.type_error.302] type must be string, but is null4190
[21:56:55] [WARN] [json.exception.type_error.302] type must be string, but is null5357
[21:56:59] [WARN] [json.exception.type_error.302] type must be string, but is null6524
[21:57:02] [WARN] [json.exception.type_error.302] type must be string, but is null7691
[21:57:06] [WARN] [json.exception.type_error.302] type must be string, but is null8858
[21:57:09] [WARN] [json.exception.type_error.302] type must be string, but is null10025
[21:57:13] [WARN] [json.exception.type_error.302] type must be string, but is null11192
[21:57:16] [WARN] [json.exception.type_error.302] type must be string, but is null12359
[21:57:19] [WARN] [json.exception.type_error.302] type must be string, but is null13526
[21:57:23] [WARN] [json.exception.type_error.302] type must be string, but is null14693
[21:57:36] [WARN] [json.exception.type_error.302] type must be string, but is null689
[21:57:39] [WARN] [json.exception.type_error.302] type must be string, but is null1856
[22:01:07] [WARN] [json.exception.type_error.302] type must be string, but is null689
[22:01:10] [WARN] [json.exception.type_error.302] type must be string, but is null1856
[22:05:33] [WARN] [json.exception.type_error.302] type must be string, but is null689
[22:21:56] [WARN] [json.exception.type_error.302] type must be string, but is null689
[22:22:00] [WARN] [json.exception.type_error.302] type must be string, but is null1856
[22:27:38] [WARN] [json.exception.type_error.302] type must be string, but is null689
[22:27:44] [WARN] [json.exception.type_error.302] type must be string, but is null1856
[22:27:48] [WARN] [json.exception.type_error.302] type must be string, but is null3023
[22:28:18] [WARN] [json.exception.type_error.302] type must be string, but is null689
[22:28:22] [WARN] [json.exception.type_error.302] type must be string, but is null1856
[22:28:26] [WARN] [json.exception.type_error.302] type must be string, but is null3023
